Shape,1k Real 1,1k Real 2,1k Real 3,1k Img 1,1k Img 2,1k Img 3,2k Real 1,2k Real 2,2k Real 3,2k Img 1,2k Img 2,2k Img 3
Aluminium Sphere,-0.188544942,-0.188540679,-0.188548868,-0.528395411,-0.52838493,-0.528383458,-0.286672109,-0.286762924,-0.286806947,-0.172065245,-0.171957216,-0.171785358
Aluminium Cube,-0.090758576,-0.090760516,-0.090750656,0.840782888,0.840783613,0.840734586,0.003089726,0.003078134,0.003040798,0.950051854,0.950106644,0.948518125
Aluminium Cube,-0.080167603,-0.096514736,-0.088347011,0.817652376,0.852803447,0.835641171,0.088813058,-0.054831504,0.025453226,0.84564785,1.007718486,0.920110097
Aluminium Cube,-0.065139822,-0.097127643,-0.080944558,0.783223315,0.85413943,0.819880775,0.164012476,-0.061442122,0.084029772,0.710263907,1.010629385,0.83794321
Aluminium Cube,-0.046420903,-0.092662564,-0.068949746,0.737306689,0.844831934,0.793187836,0.193359701,-0.013678141,0.152364,0.55948682,0.958009518,0.713896538
Aluminium Cube,-0.024749089,-0.083216333,-0.052804114,0.680180599,0.824671718,0.755298843,0.157996983,0.068496532,0.197257641,0.405432472,0.857834703,0.564403958
Aluminium Cube,-0.001133827,-0.069227731,-0.033251018,0.612814668,0.793296555,0.706183881,0.06467683,0.150214831,0.192017122,0.253566006,0.724083589,0.40557389
Aluminium Cube,0.023286812,-0.05140223,-0.011250943,0.53719651,0.750487122,0.646418552,-0.05615456,0.194274393,0.127289137,0.101899031,0.572995018,0.249007291
Aluminium Cube,0.047517101,-0.030393437,0.012306112,0.45627507,0.696324122,0.577274645,-0.155382119,0.176280988,0.018263071,-0.056212992,0.418280123,0.099124598
Aluminium Cube,0.070437266,-0.00720244,0.036308679,0.374043014,0.631592609,0.501039308,-0.188025841,0.095561576,-0.099859388,-0.227389603,0.267292357,-0.046850443
Aluminium Cube,0.091029328,0.017120038,0.059678482,0.295198958,0.557976386,0.421000095,-0.130200764,-0.022257987,-0.18376993,-0.411551617,0.11958684,-0.195489738
Aluminium Cube,0.108386098,0.041422401,0.081340834,0.224892733,0.478191741,0.341341608,0.009450242,-0.133725105,-0.198564906,-0.59905562,-0.031383137,-0.352283551
Aluminium Cube,0.121889129,0.064751885,0.100461632,0.167857233,0.395932857,0.266716357,0.191859541,-0.188718826,-0.129477196,-0.769966836,-0.193276299,-0.515936936
Aluminium Cube,0.130949919,0.086011795,0.116202934,0.128386505,0.315756243,0.202065996,0.356531296,-0.156540628,0.005166476,-0.899280048,-0.369540216,-0.676326218
Aluminium Cube,0.135212181,0.104295291,0.12791375,0.109493191,0.242648985,0.151948988,0.446715958,-0.036254935,0.16173487,-0.96440301,-0.553375155,-0.814721689
Aluminium Cube,0.134524687,0.118851423,0.13515852,0.112665893,0.181610372,0.120090568,0.430785762,0.139724923,0.286438129,-0.953149114,-0.728221541,-0.909909292
Aluminium Cube,0.128908826,0.129092062,0.13765441,0.137655601,0.137083811,0.108944804,0.314334543,0.314873526,0.334845408,-0.868027868,-0.869701786,-0.944638281
Aluminium Cube,0.118585729,0.134621687,0.135312994,0.182502401,0.112449263,0.11937327,0.138124834,0.429519974,0.289530914,-0.725368071,-0.953451149,-0.912140368
Aluminium Cube,0.103954049,0.135225157,0.128219191,0.243804983,0.109640517,0.150566443,-0.037929313,0.443565557,0.16680785,-0.549671191,-0.963341326,-0.818713237
Aluminium Cube,0.08560168,0.130880502,0.116642915,0.317102288,0.128878649,0.200127506,-0.157414286,0.352051421,0.010399913,-0.365225525,-0.897076317,-0.681273943
Aluminium Cube,0.06428852,0.121746536,0.101024632,0.39738774,0.1686404,0.264360997,-0.188311769,0.187075955,-0.125820785,-0.188843449,-0.76721268,-0.521236983
Aluminium Cube,0.040922361,0.108175805,0.081997047,0.479668208,0.225891149,0.338727165,-0.132199951,0.005498457,-0.197613504,-0.026765844,-0.596218686,-0.357296689
Aluminium Cube,0.01660735,0.090770537,0.06041234,0.559414001,0.296343241,0.41829505,-0.020227173,-0.132549419,-0.185656264,0.124337118,-0.409022459,-0.199997098
Aluminium Cube,-0.007721324,0.070135037,0.037075194,0.632926345,0.375241037,0.498392789,0.097269759,-0.188498926,-0.103663659,0.27212863,-0.225384583,-0.051034754
Aluminium Cube,-0.030895367,0.047193836,0.013074377,0.697520905,0.457447559,0.57482108,0.17699673,-0.154321826,0.014033277,0.423244264,-0.054769839,0.095137326
Aluminium Cube,-0.051865693,0.022958015,-0.010512795,0.751520431,0.538275687,0.644249715,0.193630777,-0.054290823,0.12403018,0.577926647,0.103029177,0.244931729
Aluminium Cube,-0.069637532,-0.001445441,-0.032577895,0.794155672,0.613745105,0.704352603,0.148330102,0.066420551,0.190619255,0.728730748,0.254669601,0.401348968
Aluminium Cube,-0.083553904,-0.025024468,-0.052218425,0.825351598,0.68092997,0.753839837,0.06590788,0.159070821,0.197843759,0.861877256,0.406623026,0.560186044
Aluminium Cube,-0.092917158,-0.046643647,-0.068485536,0.845341881,0.737866228,0.792105554,-0.01625479,0.193501417,0.154296469,0.961139419,0.560766714,0.710084844
Aluminium Cube,-0.097300954,-0.065301966,-0.080626826,0.854480405,0.78358447,0.819171451,-0.063377622,0.163517596,0.086245888,1.012673173,0.7114324,0.835033987
Aluminium Cube,-0.096597061,-0.080251249,-0.088179631,0.852978813,0.817828281,0.835293557,-0.055780628,0.088247876,0.026887647,1.008637012,0.846434515,0.918526629
Aluminium Cube,-0.083685786,-0.083546534,-0.09787016,0.825534438,0.825227152,0.855575128,0.063707984,0.064766317,-0.070113152,0.877594107,0.876373577,1.022122868
Aluminium Cube,-0.07187916,-0.071606141,-0.099868378,0.799330104,0.798697422,0.859656302,0.137362519,0.138632601,-0.093132691,0.761975051,0.759890593,1.043492487
Aluminium Cube,-0.055939353,-0.055556738,-0.096744598,0.761869359,0.76090632,0.853094105,0.189345835,0.189891882,-0.056562708,0.61867433,0.616189875,1.009180873
Aluminium Cube,-0.036491451,-0.036012601,-0.088539914,0.71311283,0.71182208,0.835712394,0.191081428,0.190175126,0.024462998,0.463368272,0.460889618,0.924664873
Aluminium Cube,-0.014422645,-0.013869153,-0.075629323,0.653552729,0.651958485,0.807195008,0.131939987,0.129553177,0.116570921,0.307513707,0.305169451,0.802229603
Aluminium Cube,0.009163338,0.009750959,-0.058684953,0.584416938,0.582542806,0.767181048,0.024689446,0.021399522,0.179763364,0.155378462,0.153161457,0.657347622
Aluminium Cube,0.033334894,0.033931384,-0.038291777,0.507964029,0.505894431,0.715657844,-0.094229149,-0.097146366,0.183725257,0.004626187,0.002278041,0.504531882
Aluminium Cube,0.056965622,0.057546662,-0.015416951,0.427436651,0.425283871,0.65320813,-0.17962828,-0.180903826,0.120280883,-0.150957808,-0.153832065,0.352361055
Aluminium Cube,0.078973489,0.079500899,0.008884017,0.346978147,0.344854108,0.58121544,-0.194016791,-0.192731586,0.009006928,-0.316360391,-0.319938166,0.202012491
Aluminium Cube,0.098376346,0.098827372,0.033456807,0.271400997,0.2694486,0.502148278,-0.123596621,-0.119552469,-0.109055003,-0.490126549,-0.494243554,0.047830913
Aluminium Cube,0.114471633,0.114828978,0.05735544,0.20556225,0.203930424,0.419496365,0.016876923,0.022807071,-0.180705077,-0.660625138,-0.664953461,-0.117832735
Aluminium Cube,0.126553684,0.126788855,0.079434225,0.154149324,0.152961577,0.337650439,0.182271624,0.188510437,-0.168061768,-0.808678511,-0.812452223,-0.299579744
Aluminium Cube,0.134142638,0.134252833,0.098750152,0.121008985,0.120369792,0.261587198,0.31642084,0.321325928,-0.061078674,-0.911664351,-0.914167365,-0.492885598
Aluminium Cube,0.136962003,0.136933476,0.114494646,0.108660113,0.108630144,0.196399362,0.371985646,0.374347162,0.115023305,-0.951439863,-0.952070236,-0.681904232
Aluminium Cube,0.134905208,0.134736788,0.126029855,0.118088934,0.118679675,0.146788875,0.329261006,0.328759915,0.305979059,-0.92085472,-0.919390408,-0.842396533
Aluminium Cube,0.128047395,0.127740318,0.132897178,0.148543552,0.149723673,0.116491761,0.203524138,0.200855714,0.448123952,-0.826391291,-0.823032252,-0.948004711
Aluminium Cube,0.116654857,0.116217319,0.134837702,0.197680909,0.199370074,0.107877506,0.039260098,0.035851875,0.492312173,-0.685828583,-0.681074365,-0.979083696
Aluminium Cube,0.101172228,0.100615789,0.131774434,0.261820228,0.263908305,0.121614495,-0.107081544,-0.109665661,0.423017331,-0.52197884,-0.516403098,-0.929539111
Aluminium Cube,0.082202151,0.081549243,0.123808339,0.336411418,0.338757145,0.156654823,-0.188732725,-0.189365765,0.264751095,-0.354863992,-0.34900023,-0.809063199
Aluminium Cube,0.060554562,0.059827759,0.111270168,0.416492898,0.418958131,0.210249038,-0.184673944,-0.183052054,0.071880492,-0.196234501,-0.19037524,-0.639533912
Aluminium Cube,0.037227929,0.036453153,0.094708957,0.497252449,0.499699508,0.278334867,-0.104836233,-0.101570308,-0.091198847,-0.04783674,-0.04201126,-0.447595086
